InterestType,Views,Likes,Comments,Posts
Travel,7087,484,4,25
Food&Drinks,7285,122,1,10
Experiences,5116,110,,7
Art&Culture,2941,83,1,4
LocalAttractions,10302,156,22,7
Travel,5897,54,4,4
Art&Culture,12619,196,2,12
Art&Culture,1802,63,2,4
Experiences,1539,69,3,3
Adventure,7871,73,4,4
Travel,2386,127,,12
Food&Drinks,5630,114,,6
LocalAttractions,10777,154,,12
Adventure,6803,122,5,4
Travel,19646,136,1,9
Food&Drinks,22014,194,2,11
Experiences,14859,163,4,9
Travel,5449,200,13,11
Art&Culture,11925,491,2,20
Adventure,8558,226,6,8
Adventure,6151,187,4,9
Travel,13440,383,25,11
Adventure,30049,690,21,15
Travel,8226,404,5,11
Art&Culture,6359,272,2,15
Travel,18671,445,10,27
LocalAttractions,5236,119,6,8
Travel,9494,134,1,10
Art&Culture,12784,325,50,12
Travel,16995,171,,10
Art&Culture,21738,527,1,30
Art&Culture,11103,168,2,13
Experiences,10685,279,3,19
Travel,4867,213,1,10
Adventure,8489,319,12,10
Food&Drinks,5211,171,3,10
Experiences,5293,170,7,7
Travel,69726,282,1,7
Art&Culture,5689,125,,7
Food&Drinks,15158,472,5,23
Experiences,9803,446,,24
LocalAttractions,7136,138,,10
Travel,15672,381,2,28
Art&Culture,9099,288,1,16
Travel,17638,373,10,12
Travel,14573,129,,8
Experiences,6746,151,1,11
Art&Culture,7545,287,,16
Food&Drinks,12560,214,3,10
Experiences,5913,288,,12
